Representative,Time,Age,Congress Number,Original Legislative Efficiency,Modified Legislative Efficiency
Peter DeFazio,2021-01-03,73.60711841,117,#N/A,3
Fred Upton,1987-01-03,33.69746749,100,1,1
Fred Upton,1989-01-03,35.69883641,101,2,2
Fred Upton,1991-01-03,37.69746749,102,2,2
Fred Upton,1993-01-03,39.69883641,103,2,2
Fred Upton,1995-01-03,41.69746749,104,2,2
Fred Upton,1997-01-03,43.69883641,105,2,2
Fred Upton,1999-01-03,45.69746749,106,3,3
Fred Upton,2001-01-03,47.69883641,107,2,2
Fred Upton,2003-01-03,49.69746749,108,3,3
Fred Upton,2005-01-03,51.69883641,109,2,2
Fred Upton,2007-01-03,53.69746749,110,2,2
Fred Upton,2009-01-03,55.69883641,111,1,1
Fred Upton,2011-01-03,57.69746749,112,2,2
Fred Upton,2013-01-03,59.69883641,113,2,2
Fred Upton,2015-01-03,61.69746749,114,2,2
Fred Upton,2017-01-03,63.69883641,115,2,2
Fred Upton,2019-01-03,65.69746749,116,1,1
Fred Upton,2021-01-03,67.69883641,117,#N/A,1
John Lewis,1987-01-03,46.86652977,100,1,1
John Lewis,1989-01-03,48.8678987,101,3,3
John Lewis,1991-01-03,50.86652977,102,3,3
John Lewis,1993-01-03,52.8678987,103,3,3
John Lewis,1995-01-03,54.86652977,104,2,2
John Lewis,1997-01-03,56.8678987,105,2,2
John Lewis,1999-01-03,58.86652977,106,1,1
John Lewis,2001-01-03,60.8678987,107,2,2
John Lewis,2003-01-03,62.86652977,108,3,3
John Lewis,2005-01-03,64.8678987,109,1,1
John Lewis,2007-01-03,66.86652977,110,2,2
John Lewis,2009-01-03,68.8678987,111,2,2
John Lewis,2011-01-03,70.86652977,112,1,1
John Lewis,2013-01-03,72.8678987,113,2,2
